,Person - First name,Person - Last name,Person - Phone,Person - Email (Work),Person - Email (Home),Organization - Name*,Organization - Address,Deal - Title,Deal - Value
0,Rebekah,Diaz,938-623-0572x4459,kmacdonald@example.org,charles70@example.org,Casey and Sons,"4847 Marie Curve Suite 893, Michaelstad, CA 75678",Synchronized fault-tolerant extranet,1477888
1,Alyssa,Cooley,616-382-4998,melissarussell@example.org,bauerseth@example.net,Walker Inc,"8121 Edward Lake Suite 552, Robertport, MH 44045",Pre-emptive executive concept,534287
2,Kayla,Russell,001-447-924-7228x5869,loririchards@example.net,obriensandra@example.net,Mejia PLC,"3619 Michael Roads, Justinstad, CT 10190",Operative zero tolerance Graphic Interface,1332992
3,Ernest,Price,512.978.6585x344,michellestafford@example.net,stephanie70@example.org,Mayo-Nguyen,"206 Jonathan Tunnel, North Judith, WV 53701",Phased incremental hub,851059
4,Brooke,Rocha,(615)472-6931x96207,johncarrillo@example.org,kelli94@example.com,Barton Ltd,"5438 Randall Mountain, Williamsbury, MA 06898",Secured empowering toolset,1226332
5,Karen,Velasquez,2123629746,joesims@example.org,mia62@example.org,Mann Group,"521 Burton Burgs, North Loganside, ME 88701",User-friendly mission-critical open architecture,1439934
6,Jacqueline,Wise,001-573-213-2794x90253,tiffany37@example.net,daniellefry@example.net,Parker PLC,"02189 Melanie Glen, Jennifermouth, AS 72011",Distributed discrete archive,729359
7,Melanie,Adams,3218882827,erikswanson@example.net,davidrobert@example.org,"Massey, Morgan and Bates","4915 Garrett Mission Suite 160, Barkerberg, GU 39254",Multi-channeled heuristic circuit,646815
8,Cynthia,Carter,+1-291-959-4348x20716,sullivanmary@example.com,averydenise@example.com,"Peters, Vaughn and Beck","200 Angela Port Apt. 579, South Ryan, NC 73884",Cross-platform holistic secured line,613989
9,Suzanne,Johnson,+1-504-823-4515x0681,robert36@example.com,danielholden@example.org,Wyatt Inc,"USCGC Moreno, FPO AP 16659",Polarized bottom-line attitude,666101
10,Keith,Christensen,(640)258-6583x3595,manuelpowell@example.com,johnjohnson@example.org,Palmer Inc,"9885 Collins Plains, North Kathleen, TX 42179",Configurable heuristic intranet,1067366
11,Amanda,Garrett,+1-678-467-1463x84946,mckinneyshane@example.com,wrightpatricia@example.com,Hicks-Walker,"51334 Walsh Mountains Apt. 863, West Sandrahaven, NV 92768",Enterprise-wide multi-state projection,1266585
12,Ronald,Durham,+1-885-267-0086x5069,adam48@example.net,andrea23@example.net,"Johnson, Warren and Moore","94886 Martin Underpass Apt. 147, West Brittanyland, MT 51234",Multi-layered tangible circuit,768268
